ND McKenzie,SA,2000,2009,64,55,10,1688,131,37.51,2432,69.4,2,10,2
NC Johnson,ZIM,1998,2000,48,48,2,1679,132,36.5,2389,70.28,4,11,2
BA Young,NZ,1990,1999,74,73,5,1668,74,24.52,2733,61.03,0,9,5
CR Ervine,ZIM,2010,2017,58,55,8,1645,130,35,2129,77.26,2,9,4
Sikandar Raza,ZIM,2013,2017,63,60,7,1645,141,31.03,2067,79.58,3,6,1
MDKJ Perera,SL,2013,2016,68,65,3,1635,135,26.37,1815,90.08,3,8,8
UDU Chandana,SL,1994,2007,147,111,17,1627,89,17.3,2229,72.99,0,5,8
Azhar Ali,PAK,2011,2017,45,45,3,1605,102,38.21,2140,75,3,9,2
GM Turner,NZ,1973,1983,41,40,6,1598,171,47,2348,68.05,3,9,1
LPC Silva,SL,1999,2011,75,62,7,1587,107,28.85,2254,70.4,1,13,6
SC Williams,WI,1994,1999,57,55,6,1586,105,32.36,2402,66.02,1,12,6
Saleem Elahi,PAK,1995,2004,48,47,4,1579,135,36.72,2214,71.31,4,9,3
GC Wilson,IRE,2007,2017,73,69,7,1575,113,25.4,2124,74.15,1,11,4
RL Dias,SL,1979,1987,58,55,5,1573,121,31.46,2315,67.94,2,11,3
DR Smith,WI,2004,2015,105,89,5,1560,97,18.57,1683,92.69,0,8,14
CK Kapugedera,SL,2006,2016,97,79,7,1551,95,21.54,2138,72.54,0,8,6
IK Pathan,INDIA,2004,2012,120,87,21,1544,83,23.39,1941,79.54,0,5,7
RN ten Doeschate,NL,2006,2011,33,32,9,1541,119,67,1757,87.7,5,9,1
Mashrafe Mortaza,Asia,2001,2016,169,128,21,1540,51,14.39,1731,88.96,0,1,11
Mashrafe Mortaza,BDESH,2001,2016,169,128,21,1540,51,14.39,1731,88.96,0,1,11
DL Houghton,ZIM,1983,1997,63,60,2,1530,142,26.37,2155,70.99,1,12,5
